用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U7559,施光善,P32724,香水,美妆,809.99,2024-08-15 13:24:49,2,1619.98,成都,女,28
U5784,华军盛,P38500,篮球,运动,436.85,2024-07-08 22:34:38,1,436.85,深圳,男,31
U3309,唐子,P72120,芭比娃娃,玩具,649.23,2024-09-03 12:14:14,1,649.23,北京,男,51
U2872,闵功,P68477,毛绒玩具,玩具,674.04,2024-03-11 09:12:45,4,2696.16,深圳,女,31
U3141,谢乐平,P14776,笔记本电脑,电子产品,3759.34,2024-08-22 06:16:49,4,15037.36,西安,男,33
U6990,邹裕轮,P51529,沙发,家居,435.19,2024-02-21 22:52:35,1,435.19,杭州,男,38
U7029,郑栋泽,P67192,芭比娃娃,玩具,601.6,2024-04-08 10:00:02,1,601.6,南京,男,42
U5032,娄功若,P92875,羽毛球拍,运动,212.47,2024-03-14 15:09:13,2,424.94,广州,女,27
U6907,吕友明,P79498,心理学,书籍,620.9,2024-12-02 04:32:57,5,3104.5,苏州,男,37
U1644,魏江安,P76747,羽绒服,服装,29.02,2024-10-16 04:26:43,5,145.1,广州,女,64
U5187,丁启言,P77507,拼图,玩具,663.72,2024-09-11 06:05:29,4,2654.88,杭州,女,29
U6084,尤哲军,P51928,羽绒服,服装,307.26,2024-07-14 18:32:45,1,307.26,天津,女,29
U7871,田新,P82185,夹克,服装,154.71,2024-08-05 01:03:55,5,773.55,广州,女,31
U1450,殷若时,P98440,蓝牙耳机,电子产品,473.42,2024-11-04 08:39:24,2,946.84,南京,女,22
U7854,庞功泽,P30866,蓝牙耳机,电子产品,3310.72,2024-11-20 14:21:11,2,6621.44,武汉,女,23
U1323,娄会朗,P80674,沙发,家居,315.46,2024-04-04 12:38:07,4,1261.84,北京,女,58
U6099,项良伟,P52961,哑铃,运动,613.97,2024-11-11 10:07:42,3,1841.91,武汉,男,45
U4139,马建,P87415,化妆刷套装,美妆,131.87,2024-11-14 08:17:43,2,263.74,苏州,男,49
U1297,娄裕胜,P58336,笔记本电脑,电子产品,4906.53,2024-08-26 19:40:13,5,24532.65,深圳,女,53
U1360,邱承飞,P20119,乐高积木,玩具,222.46,2024-03-16 05:40:35,3,667.38,北京,女,54
U8658,柳星,P96121,平板电脑,电子产品,8385.65,2024-05-25 14:47:13,5,41928.25,广州,男,21
U1527,张生涛,P10703,蓝牙耳机,电子产品,4288.39,2024-10-09 08:15:42,5,21441.95,南京,男,35
U3403,俞厚生,P35814,漫画,书籍,413.58,2024-10-01 16:23:03,5,2067.9,苏州,男,19
U1697,蔡利,P57154,跑步鞋,运动,381.46,2024-11-11 23:17:46,5,1907.3,重庆,男,46
U2771,柯士武,P63928,跳绳,运动,61.85,2024-05-05 19:18:58,3,185.55,南京,男,44
U1650,伍明博,P87013,化妆刷套装,美妆,788.37,2024-11-14 07:42:12,5,3941.85,南京,男,45
U4095,麻琛启,P63695,羽毛球拍,运动,607.53,2024-07-12 11:09:55,1,607.53,上海,男,43
U6462,蓝思健,P79124,科幻小说,书籍,592.34,2024-07-18 11:49:52,5,2961.7,天津,男,24
U4638,单顺子,P69987,智能手表,电子产品,1828.43,2024-02-27 06:12:55,1,1828.43,广州,男,21
U5049,柳泽,P25249,运动鞋,服装,419.58,2024-03-04 02:03:06,5,2097.9,北京,男,43
U9391,管志福,P37437,收纳盒,家居,2902.7,2024-05-17 05:17:39,5,14513.5,成都,男,30
U8688,周树承,P91372,乐高积木,玩具,496.12,2024-12-13 18:09:43,4,1984.48,西安,男,40
U9371,傅山松,P48759,笔记本电脑,电子产品,7697.38,2024-11-24 17:04:44,1,7697.38,成都,女,18
U7787,元健,P84639,技术教材,书籍,519.21,2024-12-17 10:01:07,3,1557.63,广州,男,39
U3370,戚才,P52794,化妆刷套装,美妆,332.53,2024-02-16 12:47:10,2,665.06,广州,男,19
U1669,孙家峰,P13189,办公椅,家居,1549.68,2024-05-12 17:46:34,5,7748.4,深圳,女,58
U2449,包民宏,P29873,面霜,美妆,179.44,2024-07-14 08:32:12,4,717.76,杭州,女,56
U4066,干轮琛,P59066,漫画,书籍,634.81,2024-05-21 16:49:28,1,634.81,广州,男,19
U3749,酆以,P36785,技术教材,书籍,533.42,2024-03-28 11:15:59,3,1600.26,南京,女,22
