用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U1567,金民雄,P70614,卫衣,服装,598.66,2024-12-30 22:40:30,5,2993.3,广州,男,63
U8912,伍厚新,P11661,蓝牙耳机,电子产品,2431.88,2024-08-26 18:44:23,2,4863.76,武汉,男,30
U9295,伏平顺,P61889,笔记本电脑,电子产品,3952.08,2024-04-11 03:29:09,2,7904.16,西安,男,43
U4428,奚富冠,P44876,羽绒服,服装,409.0,2024-10-14 07:02:12,1,409.0,上海,女,23
U2585,李俊才,P77588,瑜伽垫,运动,250.65,2024-10-01 09:58:36,2,501.3,北京,男,35
U9571,袁晨敬,P84026,卫衣,服装,307.23,2024-05-13 15:11:14,1,307.23,深圳,男,40
U3642,吴泰,P12046,蓝牙耳机,电子产品,6501.25,2024-05-31 03:41:49,4,26005.0,广州,男,43
U8059,钱才永,P27009,瑜伽垫,运动,821.43,2024-06-09 11:20:16,1,821.43,北京,女,50
U7591,吕翔,P98038,漫画,书籍,994.4,2024-02-09 15:27:11,1,994.4,成都,男,44
U1113,路树龙,P91433,拼图,玩具,444.15,2024-01-21 12:28:09,2,888.3,杭州,女,23
U8864,贾彬策,P66390,乐高积木,玩具,707.91,2024-09-07 02:07:51,3,2123.73,武汉,女,46
U1682,董谦,P24419,拼图,玩具,862.89,2024-03-25 00:59:44,4,3451.56,广州,女,55
U9127,刁林林,P16433,卫衣,服装,965.59,2024-08-12 15:32:22,4,3862.36,南京,女,56
U1422,凌斌毅,P52562,收纳盒,家居,1119.65,2024-04-05 14:13:33,2,2239.3,重庆,男,51
U8549,柯岩平,P67848,办公椅,家居,1410.91,2024-09-29 06:09:18,4,5643.64,西安,女,21
U3759,庞清文,P75372,跳绳,运动,40.17,2024-09-02 03:19:50,5,200.85,武汉,女,20
U1338,宗天涛,P68371,科幻小说,书籍,601.52,2024-05-15 04:08:01,3,1804.56,南京,女,57
U8681,酆诚奇,P91225,瑜伽垫,运动,832.85,2024-01-05 16:36:36,3,2498.55,苏州,女,43
U6151,刁和诚,P37852,蓝牙耳机,电子产品,9463.23,2024-09-25 12:55:34,1,9463.23,上海,男,65
U9618,洪广,P12222,时尚杂志,书籍,80.25,2024-06-23 13:02:13,2,160.5,南京,男,51
U7155,柏会行,P31382,桌游,玩具,555.14,2024-03-09 07:18:54,5,2775.7,北京,男,33
U3427,孔邦进,P21088,牛仔裤,服装,404.94,2024-06-16 08:55:17,2,809.88,深圳,男,45
U7092,常善义,P24396,拼图,玩具,909.21,2024-02-08 11:23:32,5,4546.05,武汉,女,32
U8270,卢亨泰,P45195,面霜,美妆,375.16,2024-04-26 12:58:18,1,375.16,成都,女,28
U5873,吉山雄,P90756,洗发水,美妆,408.45,2024-08-05 22:01:33,3,1225.35,北京,男,47
U7359,岑山义,P27082,智能手机,电子产品,5170.46,2024-09-12 22:18:15,5,25852.3,武汉,男,62
U2918,雷强,P18240,拼图,玩具,426.65,2024-06-02 15:45:42,2,853.3,杭州,女,56
U1954,樊风,P87546,防晒霜,美妆,592.86,2024-09-04 06:10:09,2,1185.72,深圳,男,25
U9932,秦军平,P42534,充电宝,电子产品,6788.03,2024-01-11 13:54:48,2,13576.06,杭州,女,57
U1024,缪哲亨,P52658,人物传记,书籍,455.13,2024-10-27 12:05:10,2,910.26,北京,女,34
U5015,万坚新,P70395,台灯,家居,1709.92,2024-08-01 11:49:18,3,5129.76,西安,女,51
U1749,邱波航,P15966,T恤,服装,785.2,2024-06-14 05:14:03,3,2355.6,北京,男,51
U9838,湛腾乐,P42328,收纳盒,家居,4138.68,2024-10-07 05:25:30,5,20693.4,广州,女,55
U4548,林冠宁,P14082,羽毛球拍,运动,665.02,2024-03-04 16:14:20,2,1330.04,南京,女,57
U7841,田俊振,P26768,哑铃,运动,999.7,2024-01-01 07:08:57,3,2999.1,杭州,女,32
U7144,元之,P81226,洗发水,美妆,94.56,2024-07-22 03:17:29,3,283.68,上海,女,60
U5487,闵峰宏,P21809,夹克,服装,739.3,2024-09-20 07:34:22,3,2217.9,西安,女,49
U3728,萧彬子,P31935,乐高积木,玩具,438.52,2024-07-16 05:22:33,4,1754.08,深圳,男,26
U7044,毕祥庆,P62332,粉底液,美妆,711.19,2024-05-03 18:00:02,1,711.19,北京,女,37
U1987,昝士政,P40479,心理学,书籍,204.13,2024-03-07 08:59:47,3,612.39,苏州,男,55
U1650,窦国腾,P26772,智能手表,电子产品,2863.15,2024-09-11 08:53:43,5,14315.75,成都,男,63
